time,house,tenant,duration,mean,ci_low,ci_high
410.0,3287 Katelyn Wall Apt. 226,Megan,6.0,13.8,11.27375,15.988749999999987
420.0,05641 Robin Port,Jason,14.0,15.166666666666666,12.866666666666665,18.250833333333333
420.0,76724 John Points Suite 969,Whitney,8.0,15.166666666666666,12.866666666666665,18.250833333333333
430.0,3287 Katelyn Wall Apt. 226,Danielle,13.0,14.4,12.2,15.73333333333333
430.0,76483 Cameron Trail,Stephen,9.0,14.4,12.2,15.73333333333333
450.0,76724 John Points Suite 969,Whitney,24.0,16.066666666666666,14.666666666666666,17.934999999999995
440.0,525 Clark Grove Apt. 928,Joseph,17.0,14.866666666666669,11.974583333333333,18.85
440.0,05641 Robin Port,Megan,16.0,14.866666666666669,11.974583333333333,18.85
440.0,3287 Katelyn Wall Apt. 226,Jeremy,6.0,14.866666666666669,11.974583333333333,18.85
440.0,76483 Cameron Trail,Stephen,10.0,14.866666666666669,11.974583333333333,18.85
460.0,3287 Katelyn Wall Apt. 226,William,20.0,14.66,12.44,16.7
450.0,76483 Cameron Trail,Jeremy,7.0,16.066666666666666,14.666666666666666,17.934999999999995
470.0,525 Clark Grove Apt. 928,Joseph,20.0,15.15,11.67375,18.35
470.0,05641 Robin Port,Danielle,22.0,15.15,11.67375,18.35
470.0,76724 John Points Suite 969,Stephen,21.0,15.15,11.67375,18.35
460.0,76483 Cameron Trail,Whitney,6.0,14.66,12.44,16.7
480.0,3287 Katelyn Wall Apt. 226,Jeremy,17.0,12.166666666666666,10.799999999999999,13.7
480.0,76483 Cameron Trail,Jason,16.0,12.166666666666666,10.799999999999999,13.7
480.0,525 Clark Grove Apt. 928,Joseph,8.0,12.166666666666666,10.799999999999999,13.7
490.0,05641 Robin Port,Whitney,19.0,15.25,13.5,17.0
500.0,76724 John Points Suite 969,Megan,23.0,14.333333333333332,12.0,16.666666666666664
480.0,525 Clark Grove Apt. 928,Joseph,9.0,12.166666666666666,10.799999999999999,13.7
500.0,3287 Katelyn Wall Apt. 226,Stephen,18.0,14.333333333333332,12.0,16.666666666666664
500.0,76483 Cameron Trail,William,11.0,14.333333333333332,12.0,16.666666666666664
40.0,0482 Monica Hills,Jennifer,19.0,15.8,11.9,20.119999999999983
40.0,184 Rodriguez Mews,Erin,15.0,15.8,11.9,20.119999999999983
40.0,6978 Maddox Wall,Jennifer,9.0,15.8,11.9,20.119999999999983
40.0,52880 Burns Creek,Joseph,7.0,15.8,11.9,20.119999999999983
60.0,3039 Christopher Oval Apt. 822,Erin,21.0,15.0,13.2,16.2
60.0,6978 Maddox Wall,Joseph,10.0,15.0,13.2,16.2
60.0,184 Rodriguez Mews,Jennifer,18.0,15.0,13.2,16.2
60.0,0482 Monica Hills,Daniel,11.0,15.0,13.2,16.2
70.0,52880 Burns Creek,Ryan,17.0,12.2,10.866666666666665,13.833333333333332
80.0,6978 Maddox Wall,Joseph,22.0,15.26666666666667,10.933333333333334,19.6
70.0,0482 Monica Hills,Shawn,7.0,12.2,10.866666666666665,13.833333333333332
70.0,184 Rodriguez Mews,Daniel,8.0,12.2,10.866666666666665,13.833333333333332
90.0,3039 Christopher Oval Apt. 822,Jennifer,23.0,15.366666666666669,12.315833333333334,19.287499999999998
80.0,0482 Monica Hills,Shawn,8.0,15.26666666666667,10.933333333333334,19.6
